"ISOA";"pais_ing";"pais_port"
"PRI";"Puerto Rico";"Porto Rico"
"PRK";"Korea, Democratic People's Republic of";"Coréia, República Popular Democrática da"
"PRT";"Portugal";"Portugal"
"PRY";"Paraguay";"Paraguai"
"PSE";"Palestinian Territory, Occupied";"Território Palestino, Ocupado"
"PSL";"Sealand";"Sealand"
"PYF";"French Polynesia";"Polinésia Francesa"
"QAT";"Qatar";"Catar"
"REU";"Réunion";"Reunião"
"ROU";"Romania";"Roménia"
"RUS";"Russia";"Rússia"
"RWA";"Rwanda";"Ruanda"
"SAU";"Saudi Arabia";"Arábia Saudita"
"SDN";"Sudan";"Sudão"
"SEN";"Senegal";"Senegal"
"SGP";"Singapore";"Cingapura"
"SGS";"South Georgia and the South Sandwich Islands";"Geórgia do Sul e Ilhas Sandwich do Sul"
"SHN";"Saint Helena";"Santa Helena"
"SJM";"Svalbard and Jan Mayen";"Svalbard e Jan Mayen"
"SLB";"Solomon Islands";"Ilhas Salomão"
"SLE";"Sierra Leone";"Serra Leoa"
"SLV";"El Salvador";"El Salvador"
"SMR";"San Marino";"San Marino"
"SOM";"Somalia";"Somália"
"SPM";"Saint Pierre and Miquelon";"São Pedro e Miquelon"
"SRB";"Serbia";"Sérvia"
"STP";"Sao Tome and Principe";"São Tomé e Príncipe"
"SUR";"Suriname";"Suriname"
"SVK";"Slovakia";"Eslováquia"
"SVN";"Slovenia";"Eslovênia"
"SWE";"Sweden";"Suécia"
"SWZ";"Swaziland";"Suazilândia"
"SYC";"Seychelles";"Seychelles"
"SYR";"Syrian Arab Republic";"República Árabe da Síria"
"TCA";"Turks and Caicos Islands";"Ilhas Turks e Caicos"
"TCD";"Chad";"Chade"
"TGO";"Togo";"Togo"
"THA";"Thailand";"Tailândia"
"TJK";"Tajikistan";"Tajiquistão"
"TKL";"Tokelau";"Tokelau"
"TKM";"Turkmenistan";"Turcomenistão"
"TLS";"Timor-Leste";"Timor-Leste"
"TON";"Tonga";"Tonga"
"TTO";"Trinidad and Tobago";"Trinidad e Tobago"
"TUN";"Tunisia";"Tunísia"
"TUR";"Turkey";"Peru"
"TUV";"Tuvalu";"Tuvalu"
"TWN";"Taiwan, Province of China";"Taiwan, Província da China"
"TZA";"Tanzania, United Republic of";"Tanzânia, República Unida da"
"UGA";"Uganda";"Uganda"
"UKR";"Ukraine";"Ucrânia"
"UMI";"United States Minor Outlying Islands";"Ilhas Menores Distantes dos Estados Unidos"
"URY";"Uruguay";"Uruguai"
"USA";"United States";"Estados Unidos"
"UZB";"Uzbekistan";"Uzbequistão"
"VAT";"Holy See (Vatican City State)";"Santa Sé (Estado da Cidade do Vaticano)"
"VCT";"Saint Vincent and the Grenadines";"São Vicente e Granadinas"
"VEN";"Venezuela";"Venezuela"
"VGB";"Virgin Islands, British";"Ilhas Virgens Britânicas"
"VIR";"Virgin Islands, U.S.";"Ilhas Virgens, EUA"
"VNM";"Viet Nam";"Vietnã"
"VUT";"Vanuatu";"Vanuatu"
"WLF";"Wallis and Futuna";"Wallis e Futuna"
"WSM";"Samoa";"Samoa"
"YEM";"Yemen";"Iémen"
"ZAF";"South Africa";"África do Sul"
"ZMB";"Zambia";"Zâmbia"
"ZWE";"Zimbabwe";"Zimbábue"
